season,name,wins,losses,pts_diff,efg_vs_avg,opp_efg_vs_avg,tov_vs_avg,opp_tov_vs_avg,orb_vs_avg,opp_orb_vs_avg,ftfga_vs_avg,opp_ftfga_vs_avg,ortg_vs_avg,opp_ortg_vs_avg,pace_vs_avg,attendance,playoff_wins
2000,atlanta hawks,25,57,-5.2073,-0.0176,0.0003,1.2994,-0.225,0.8858,0.8907,-0.0262,0.0186,-4.3897,1.2725,0.6731,13666,0
2000,chicago bulls,15,67,-9.0975,-0.0224,0.0278,0.6506,0.397,-1.6484,1.309,-0.0107,0.0229,-5.7763,4.4323,-1.9537,21674,0
2000,dallas mavericks,53,29,4.2805,0.0257,-0.0044,-0.8981,0.1262,-4.4715,1.3565,-0.0001,0.0111,4.1079,-0.5311,2.0695,16591,4
2000,golden state warriors,17,65,-9.0488,-0.043,0.0321,-0.0567,1.0909,4.9016,2.0894,-0.032,-0.0047,-5.4921,4.1908,3.0049,14438,0
2000,houston rockets,45,37,2.2927,0.0205,0.0025,-0.1994,-1.236,-0.8459,-0.2362,0.0123,-0.0256,3.7042,1.1237,-0.7537,12647,0
2000,new jersey nets,26,56,-5.0487,-0.0223,0.0149,-0.3884,0.9372,-2.3057,1.448,0.0165,0.027,-3.1202,2.5164,0.6231,13574,0
2000,new york knicks,48,34,2.6341,0.0035,-0.0196,0.4543,0.4958,-3.9654,-2.4593,-0.011,0.0095,-1.7897,-4.8946,-4.5903,19763,2
2000,orlando magic,43,39,0.9878,0.0015,-0.0091,-0.0055,1.2494,0.7931,1.7736,-0.0183,0.058,0.153,-0.9055,2.0231,14756,1
2000,portland trail blazers,50,32,4.1951,0.0242,-0.0025,0.7909,0.2738,1.6602,-0.9276,-0.0054,-0.0093,3.1798,-1.3592,-1.9354,20277,0
2000,san antonio spurs,58,24,7.7561,0.0237,-0.0278,-0.442,-1.1225,-1.235,-2.1191,0.0381,-0.0519,3.4615,-5.2531,-1.5232,22272,7
2000,toronto raptors,47,35,2.2561,-0.0045,0.0031,-1.7884,-0.875,2.6492,-1.4886,-0.0189,-0.0205,2.7408,0.3371,-0.1378,19347,6
2000,utah jazz,53,29,4.6951,0.0247,0.0015,1.108,1.6348,1.9321,-1.7093,0.041,0.0731,4.4652,-0.7299,-1.3086,19321,2
2000,vancouver grizzlies,23,59,-5.7317,-0.0085,0.0186,0.8531,0.0714,-2.2789,1.9346,-0.0086,-0.0385,-3.8543,2.4871,0.6792,13737,0
2000,boston celtics,36,46,-2.1341,0.0004,0.021,0.7043,1.6958,-2.7496,-0.963,0.0178,0.0236,-1.4885,0.903,1.2658,15346,0
2000,charlotte hornets,46,36,2.0975,-0.0148,-0.017,-0.3823,-0.0042,1.5492,-2.7106,0.0147,-0.009,-1.3275,-3.5665,-1.7525,15010,6
2000,cleveland cavaliers,30,52,-4.2439,-0.0136,0.004,1.3653,-0.0164,1.6272,0.8394,0.0062,0.0167,-2.797,1.8128,0.0256,15872,0
2000,los angeles lakers,56,26,3.3781,0.0246,-0.004,-0.6396,-1.8945,3.0943,-0.852,0.0085,0.004,5.2603,1.6579,0.5731,18935,15
2000,miami heat,50,32,2.2926,-0.0048,-0.0122,-0.3189,1.0897,-3.9642,-1.0374,-0.0015,-0.019,-2.0153,-4.5116,-4.111,16541,0
2000,philadelphia 76ers,56,26,4.2805,-0.0055,-0.012,0.6299,0.5421,3.0602,-0.7813,0.0292,-0.0461,0.4615,-4.169,-0.5951,19651,12
2000,seattle supersonics,44,38,0.0244,0.0185,0.0153,0.236,-0.1067,0.6626,2.0041,-0.0129,-0.0326,2.6323,2.4847,0.3683,15630,0
2000,denver nuggets,40,42,-2.4634,-0.0033,0.0033,-1.142,-1.7884,0.048,-0.2435,-0.0206,-0.0096,0.3664,3.1384,1.6549,15104,0
2000,los angeles clippers,31,51,-2.8903,0.0036,-0.0061,0.5775,-1.9994,-0.0106,0.4382,-0.0093,-0.0152,-1.6446,1.5237,-1.6561,14672,0
2000,phoenix suns,51,31,2.2073,-0.0117,-0.0122,0.1604,2.2958,-0.9923,-1.8484,-0.0098,0.0214,-2.7738,-5.2214,2.0817,17989,1
2000,detroit pistons,32,50,-1.6951,-0.0192,-0.0063,0.3519,0.0055,0.9943,-0.3825,0.0026,0.0011,-3.2824,-1.4946,3.6634,14812,0
2000,washington wizards,19,63,-6.6707,-0.0113,0.0298,1.5994,0.0506,1.1333,-0.2203,0.0333,0.0045,-2.4653,4.7506,1.4975,15576,0
2000,indiana pacers,41,41,-0.1951,-0.002,-0.0214,0.2958,-1.136,-1.2959,0.365,0.0082,0.0031,-0.9885,-0.8031,-1.7878,17848,1
2000,milwaukee bucks,52,30,3.878,0.026,0.0005,-1.0774,0.3506,-0.1337,0.6041,-0.0163,0.0225,5.6164,1.4445,1.0439,16661,10
2000,minnesota timberwolves,47,35,1.3537,0.0083,0.0058,-0.9018,0.0287,0.2443,0.1248,-0.0326,0.0069,2.1103,0.4993,0.7524,17496,1
2000,sacramento kings,55,27,5.8171,0.0121,-0.0132,-0.5055,0.3994,-1.1691,0.9711,-0.0025,-0.0505,2.4152,-3.6653,3.3256,17317,3
2001,cleveland cavaliers,29,53,-3.3293,-0.0008,0.0166,0.0829,-1.2159,0.3294,-1.5938,0.0098,0.0032,0.1419,3.9029,-0.4312,14539,0
2001,dallas mavericks,57,25,4.2561,0.0297,0.0065,-2.1549,-0.5415,-2.6938,0.627,0.0088,0.016,7.5394,2.9516,2.3931,19580,4
2001,houston rockets,28,54,-4.8902,-0.0106,0.0146,-0.4318,-1.9171,0.2635,1.2526,-0.0115,-0.046,-1.3362,4.2809,-2.5215,11737,0
2001,los angeles lakers,58,24,7.122,0.0205,-0.023,-1.7769,-0.594,0.1355,-0.7365,-0.0041,0.0115,5.0321,-2.741,1.4529,18994,15
2001,minnesota timberwolves,50,32,3.3781,0.0135,0.0047,-0.8574,-0.944,2.4391,-2.3194,-0.0194,-0.0061,4.5163,0.7138,-0.0934,17845,0
2001,new jersey nets,52,30,4.1585,-0.0013,-0.0158,0.1146,1.1817,0.3733,-0.5791,-0.0173,-0.0093,-0.4862,-4.9801,1.1651,13760,11
2001,new york knicks,30,52,-3.9879,-0.0088,0.0016,0.5792,-0.6159,-3.2596,-0.7926,-0.0064,0.0135,-3.2362,1.1199,-0.8288,19763,0
2001,orlando magic,44,38,1.5732,0.0174,0.0086,-0.7696,0.7621,-2.5913,2.2599,-0.0135,-0.0078,2.4468,0.7797,2.6005,15149,1
2001,phoenix suns,36,46,-0.683,-0.0037,-0.0006,0.1926,0.6134,1.383,1.0843,-0.0439,0.0032,-1.1935,-0.5557,0.7212,16315,0
2001,sacramento kings,61,21,7.6098,0.0193,-0.0108,-0.972,0.1573,-0.8304,-0.5279,0.0083,-0.0404,4.4407,-3.641,5.0224,17317,10
2001,san antonio spurs,58,24,6.2073,0.0163,-0.0239,0.2853,-0.0196,-1.6718,-0.773,0.0402,-0.0345,2.0809,-4.8764,-0.663,22107,4
