,Team,Odds
0,atlanta hawks,298
1,boston celtics,12
2,brooklyn nets,300
3,charlotte hornets,223
4,chicago bulls,154
5,cleveland cavaliers,35
6,dallas mavericks,300
7,denver nuggets,60
8,detroit pistons,94
9,golden state warriors,8
10,houston rockets,8
11,indiana pacers,36
12,los angeles clippers,102
13,los angeles lakers,300
14,memphis grizzlies,300
15,miami heat,30
16,milwaukee bucks,43
17,minnesota timberwolves,38
18,new orleans pelicans,32
19,new york knicks,224
20,oklahoma city thunder,21
21,orlando magic,266
22,philadelphia 76ers,12
23,phoenix suns,300
24,portland trail blazers,22
25,sacramento kings,300
26,san antonio spurs,23
27,toronto raptors,8
28,utah jazz,17
29,washington wizards,66
