,Team,Odds
0,atlanta hawks,300
1,boston celtics,17
2,brooklyn nets,57
3,charlotte hornets,300
4,chicago bulls,106
5,cleveland cavaliers,300
6,dallas mavericks,175
7,denver nuggets,15
8,detroit pistons,39
9,golden state warriors,8
10,houston rockets,18
11,indiana pacers,18
12,los angeles clippers,37
13,los angeles lakers,300
14,memphis grizzlies,196
15,miami heat,87
16,milwaukee bucks,8
17,minnesota timberwolves,300
18,new orleans pelicans,300
19,new york knicks,300
20,oklahoma city thunder,16
21,orlando magic,39
22,philadelphia 76ers,34
23,phoenix suns,165
24,portland trail blazers,16
25,sacramento kings,284
26,san antonio spurs,41
27,toronto raptors,8
28,utah jazz,16
29,washington wizards,300
